"hra","hrb","hrab","hrneg","pa","pb","pab","pneg","method","N","event_ia","event_fa","n_rep","power_H1","power_H2","power_H3","power_Any"
0.75,0.7,0.65,1.5,0.2,0.2,0.5,0.1,"Bonferroni",750,225,450,1e+05,0.86919,0.89095,0.82934,0.92512
0.75,0.7,0.65,1.5,0.2,0.2,0.5,0.1,"WPGSD",750,225,450,1e+05,0.88396,0.90517,0.84421,0.93825
0.75,0.7,0.65,1.5,0.2,0.2,0.4,0.2,"Bonferroni",750,225,450,1e+05,0.74144,0.79138,0.50107,0.86223
0.75,0.7,0.65,1.5,0.2,0.2,0.4,0.2,"WPGSD",750,225,450,1e+05,0.76198,0.80984,0.50947,0.87731
0.75,0.7,0.65,1.5,0.3,0.3,0.1,0.3,"Bonferroni",750,225,450,1e+05,0.37225,0.49235,0.11791,0.6351
0.75,0.7,0.65,1.5,0.3,0.3,0.1,0.3,"WPGSD",750,225,450,1e+05,0.38729,0.50824,0.12196,0.65278
0.75,0.7,0.65,1,0.2,0.2,0.5,0.1,"Bonferroni",750,225,450,1e+05,0.89721,0.9151,0.91966,0.94342
0.75,0.7,0.65,1,0.2,0.2,0.5,0.1,"WPGSD",750,225,450,1e+05,0.90671,0.92557,0.93432,0.95593
0.75,0.7,0.65,1,0.2,0.2,0.4,0.2,"Bonferroni",750,225,450,1e+05,0.81526,0.84549,0.8301,0.89704
0.75,0.7,0.65,1,0.2,0.2,0.4,0.2,"WPGSD",750,225,450,1e+05,0.82818,0.85929,0.84813,0.91279
0.75,0.7,0.65,1,0.3,0.3,0.1,0.3,"Bonferroni",750,225,450,1e+05,0.47198,0.57442,0.58611,0.71584
0.75,0.7,0.65,1,0.3,0.3,0.1,0.3,"WPGSD",750,225,450,1e+05,0.48145,0.58552,0.60441,0.73422
0.8,0.75,0.7,1,0.2,0.2,0.5,0.1,"Bonferroni",750,225,450,1e+05,0.72567,0.75933,0.76666,0.81829
0.8,0.75,0.7,1,0.2,0.2,0.5,0.1,"WPGSD",750,225,450,1e+05,0.74527,0.78113,0.7991,0.84797
0.8,0.75,0.7,1,0.2,0.2,0.4,0.2,"Bonferroni",750,225,450,1e+05,0.61828,0.66326,0.64299,0.74592
0.8,0.75,0.7,1,0.2,0.2,0.4,0.2,"WPGSD",750,225,450,1e+05,0.63768,0.68508,0.67173,0.7743
0.8,0.75,0.7,1,0.3,0.3,0.1,0.3,"Bonferroni",750,225,450,1e+05,0.2936,0.38,0.39279,0.52492
0.8,0.75,0.7,1,0.3,0.3,0.1,0.3,"WPGSD",750,225,450,1e+05,0.30264,0.39225,0.41238,0.54684
1,1,1,1,0.2,0.2,0.5,0.1,"Bonferroni",750,225,450,1e+05,0.00995,0.00978,0.01201,0.01757
1,1,1,1,0.2,0.2,0.5,0.1,"WPGSD",750,225,450,1e+05,0.01225,0.01211,0.01655,0.02312
1,1,1,1,0.2,0.2,0.4,0.2,"Bonferroni",750,225,450,1e+05,0.00917,0.00971,0.01218,0.01918
1,1,1,1,0.2,0.2,0.4,0.2,"WPGSD",750,225,450,1e+05,0.01092,0.01153,0.0158,0.02399
1,1,1,1,0.3,0.3,0.1,0.3,"Bonferroni",750,225,450,1e+05,0.00901,0.00896,0.01173,0.02235
1,1,1,1,0.3,0.3,0.1,0.3,"WPGSD",750,225,450,1e+05,0.00993,0.00978,0.01353,0.02519
